,C06,C04,KSH01,BT01,C02,C07,USS01,C05,MBS01,C01,C03
@context,"{'rfs': 'https://framework.regen.network/schema/', 'schema': 'http://schema.org/'}","{'rfs': 'https://framework.regen.network/schema/', 'schema': 'http://schema.org/'}","{'rfs': 'https://framework.regen.network/schema/', 'schema': 'http://schema.org/'}","{'rfs': 'https://framework.regen.network/schema/', 'rft': 'https://framework.regen.network/taxonomy/', 'schema': 'http://schema.org/'}","{'rfs': 'https://framework.regen.network/schema/', 'schema': 'http://schema.org/'}","{'rfs': 'https://framework.regen.network/schema/', 'schema': 'http://schema.org/'}","{'rfs': 'https://framework.regen.network/schema/', 'schema': 'http://schema.org/'}","{'rfs': 'https://framework.regen.network/schema/', 'schema': 'http://schema.org/'}","{'rfs': 'https://framework.regen.network/schema/', 'schema': 'http://schema.org/'}","{'rfs': 'https://framework.regen.network/schema/', 'schema': 'http://schema.org/'}","{'rfs': 'https://framework.regen.network/schema/', 'schema': 'http://schema.org/'}"
@type,rfs:CarbonCreditClassInfo,rfs:CarbonCreditClassInfo,rfs:CreditClassInfo,rfs:CreditClassInfo,rfs:CarbonCreditClassInfo,rfs:CarbonCreditClassInfo,rfs:CreditClassInfo,rfs:CarbonCreditClassInfo,rfs:CreditClassInfo,rfs:CarbonCreditClassInfo,rfs:CarbonCreditClassInfo
rfs:eligibleActivities,['PRESCRIBED_GRAZING'],['PRESCRIBED_GRAZING'],['PRESCRIBED_GRAZING'],"['CONSERVATION', 'AFFORESTATION', 'ECOSYSTEM_RESTORATION']","['URBAN_FOREST_IMPROVEMENT', 'TREE_PLANTING']",['PRESCRIBED_GRAZING'],"['UMBRELLA_SPECIES_CONSERVATION', 'ECOSYSTEM_RESTORATION', 'ECOTOURISM']",['BIOCHAR_PRODUCTION'],"['ECOSYSTEM_RESTORATION', 'TREE_PLANTING', 'CONSERVATION']","['AFFORESTATION', 'REFORESTATION', 'IMPROVED_FOREST_MANAGEMENT']","['AFFORESTATION', 'REFORESTATION', 'IMPROVED_FOREST_MANAGEMENT']"
rfs:eligibleEnvironmentTypes,"['CROPLAND', 'GRASSLAND', 'PASTURE', 'SHRUBLAND']","['PASTURE', 'GRASSLAND', 'Integrated Cro-Livestock (ICL) -- cannot find in taxonomy']",['VINEYARD'],['rft:Terrestrial -- cannot find in taxonomy'],['URBAN_TREES'],"['GRASSLAND', 'PASTURE', 'SHRUBLAND']",['Terrestrial -- not found in taxonomy'],"['FOREST', 'CROPLAND', 'GRASSLAND']","['MARINE', 'WETLAND', 'CORAL_REEF', 'COASTAL']","['FOREST', 'CROPLAND', 'SHRUBLAND', 'GRASSLAND', 'WETLAND', 'SWAMP', 'COASTAL']","['FOREST', 'CROPLAND', 'SHRUBLAND', 'GRASSLAND', 'WETLAND', 'SWAMP', 'COASTAL']"
rfs:hasApprovedMethodologies,,,,,,,,"[{'schema:url': 'https://verra.org/wp-content/uploads/2023/07/VM44_v1.1_EC.pdf', 'schema:name': 'Methodology for Biochar Utilization in Soil and Non-Soil Applications (VM0044)', 'schema:version': 'V1.1', 'schema:identifier': 'VM0044'}, {'schema:url': 'https://www.registry.regen.network/methodology/appendix-in-stand-surface-application-of-biochar-in-forestlands-methodology', 'schema:name': 'Appendix: In-Stand Surface Application of Biochar in Forestlands Methodology', 'schema:version': 'V1.0'}]",,"[{'schema:url': 'https://cdm.unfccc.int/methodologies/DB/X4VOLW3Y7IJCH9WXSBXBC2Q0JKG9UZ', 'schema:name': 'Afforestation and reforestation of degraded land', 'schema:version': '5.2.0', 'schema:identifier': 'AR-ACM0001'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/OOH5AKLQDUYW6N3STD3LDH7EL9THD1', 'schema:name': 'Afforestation or reforestation of degraded land without displacement of pre-project activities', 'schema:version': '1.1.0', 'schema:identifier': 'AR-ACM0002'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/3Z9ZV3YE2H4ITY66HR7WDLV6D9QMD5', 'schema:name': 'Reforestation of degraded land', 'schema:version': '3.0', 'schema:identifier': 'AR-AM0001'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/6ZZXJUKK49WKLID7ZH8FG3BS9WTCCH', 'schema:name': 'Restoration of degraded lands through afforestation/reforestation', 'schema:version': '3.0', 'schema:identifier': 'AR-AM0002'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/U3WW9YEC2X333WW8CPVQ6CGVY6IBPJ', 'schema:name': 'Afforestation and reforestation of degraded land through tree planting assisted natural regeneration and control of animal grazing', 'schema:version': '4.0', 'schema:identifier': 'AR-AM0003'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/S2OMSUTOWYOMLW75MPR0CG6SAKNG4Y', 'schema:name': 'Reforestation or afforestation of land currently under agricultural use', 'schema:version': '4.0', 'schema:identifier': 'AR-AM0004'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/QAM97WQWX94URIJXOJMTJFIS8KSE28', 'schema:name': 'Afforestation and reforestation project activities implemented for industrial and/or commercial uses', 'schema:version': '4.0', 'schema:identifier': 'AR-AM0005'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/BHNYWRDFHU75CI2GSCETNYRBFWBMBS', 'schema:name': 'Afforestation/Reforestation with Trees Supported by Shrubs on Degraded Land', 'schema:version': '3.1.1', 'schema:identifier': 'AR-AM0006'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/M8JRU26ZZJAN7DKGE2EP6UBN9OYBDJ', 'schema:name': 'Afforestation and Reforestation of Land Currently Under Agricultural or Pastoral Use', 'schema:version': '5.0', 'schema:identifier': 'AR-AM0007'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/SVW9LIW0F9AQ50KW7J338I8UD4Z231', 'schema:name': 'Afforestation or reforestation on degraded land for sustainable wood production', 'schema:version': '3.0', 'schema:identifier': 'AR-AM0008'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/HQ3U8IFDTG5N8987T3LR9D3Z76UB8O', 'schema:name': 'Afforestation or reforestation on degraded land allowing for silvopastoral activities', 'schema:version': '4.0', 'schema:identifier': 'AR-AM0009'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/H70FNNSTOOBRQV0GTWHDX0WECCWZZC', 'schema:name': 'Afforestation and reforestation project activities implemented on unmanaged grassland in reserve/protected areas', 'schema:version': '4.0', 'schema:identifier': 'AR-AM0010'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/21ACLYAP601F8L2WCBJV0PTM7GXYQ3', 'schema:name': 'Afforestation and reforestation of land subject to polyculture farming', 'schema:version': '1.0.1', 'schema:identifier': 'AR-AM0011'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/57VGMUM1NWCQDQ4BQ2KP4VXFHF95ZI', 'schema:name': 'Afforestation or reforestation of degraded or abandoned agricultural lands', 'schema:version': '1.0.1', 'schema:identifier': 'AR-AM0012'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/LAC5URLIAYJ8ETRT2W1A4IFHBPSNWN', 'schema:name': 'Afforestation and reforestation of lands other than wetlands', 'schema:version': '1.0.0', 'schema:identifier': 'AR-AM0013'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/91OLF4XK2MEDIRIWUQ22X3ZQAOPBWY', 'schema:name': 'Simplified baseline and monitoring methodologies for small-scale A/R CDM project activities implemented on grasslands or croplands with limited displacement of pre-project activities', 'schema:version': '6.0', 'schema:identifier': 'AR-AMS0001'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/XNOATYWKHK5ZM5ZVZZQ4G5OXIDVZJK', 'schema:name': 'Simplified baseline and monitoring methodologies for small-scale afforestation and reforestation project activities under the CDM implemented on settlements', 'schema:version': '2.0', 'schema:identifier': 'AR-AMS0002'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/7O930NO6FCXTRZI6WIVTF54TTWJM6I', 'schema:name': 'Simplified baseline and monitoring methodology for small-scale agroforestry - afforestation and reforestation project activities under the clean development mechanism', 'schema:version': '2.0', 'schema:identifier': 'AR-AMS0004'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/KO69QWJ8DYW631DD4PZN6C37XL3P1E', 'schema:name': 'Simplified baseline and monitoring methodology for small-scale afforestation and reforestation project activities under the clean development mechanism implemented on lands having low inherent potential to support living biomass', 'schema:version': '2.0', 'schema:identifier': 'AR-AMS0005'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/MDKSSZCV62M6V0K49Y0L5H9YD7WLR5', 'schema:name': 'Simplified baseline and monitoring methodology for small-scale silvopastoral - afforestation and reforestation project activities under the clean development mechanism', 'schema:version': '1.0', 'schema:identifier': 'AR-AMS0006'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/C9QS5G3CS8FW04MYYXDFOQDPXWM4OE', 'schema:name': 'Afforestation and reforestation of lands except wetlands', 'schema:version': '2.0', 'schema:identifier': 'AR-ACM0003'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/KMH6O8T6RL3P5XKNBQE2N359QG7KOE', 'schema:name': 'Afforestation and reforestation of degraded mangrove habitats', 'schema:version': '3.0', 'schema:identifier': 'AR-AM0014'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/808WOYH6FWAXP3CQR4PXOLORGZBVRG', 'schema:name': 'Afforestation and reforestation project activities implemented on wetlands', 'schema:version': '3.0', 'schema:identifier': 'AR-AMS0003'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/J6ZHLX1C3AEMSZ52PWIII6D2AOJZUB', 'schema:name': 'Afforestation and reforestation project activities implemented on lands other than wetlands', 'schema:version': '3.1', 'schema:identifier': 'AR-AMS0007'}, {'schema:url': 'https://verra.org/methodology/vm0003-methodology-for-improved-forest-management-through-extension-of-rotation-age-v1-2/', 'schema:name': 'Methodology for Improved Forest Management through Extension of Rotation Age', 'schema:version': '1.2', 'schema:identifier': 'VM003'}, {'schema:url': 'https://verra.org/methodology/vm0004-methodology-for-conservation-projects-that-avoid-planned-land-use-conversion-in-peat-swamp-forests-v1-0/', 'schema:name': 'Methodology for Conservation Projects that Avoid Planned Land Use Conversion in Peat Swamp Forests', 'schema:version': '1.0', 'schema:identifier': 'VM004'}, {'schema:url': 'https://verra.org/methodology/vm0005-methodology-for-conversion-of-low-productive-forest-to-high-productive-forest-v1-2/', 'schema:name': 'Methodology for Conversion of Low-productive Forest to High-productive Forest', 'schema:version': '1.2', 'schema:identifier': 'VM005'}, {'schema:url': 'https://verra.org/methodology/vm0006-methodology-for-carbon-accounting-for-mosaic-and-landscape-scale-redd-projects-v2-2/', 'schema:name': 'Methodology for Carbon Accounting for Mosaic and Landscape-scale REDD Projects', 'schema:version': '2.2', 'schema:identifier': 'VM006'}, {'schema:url': 'https://verra.org/methodology/vm0007-redd-methodology-framework-redd-mf-v1-6/', 'schema:name': 'REDD+ Methodology Framework (REDD+MF)', 'schema:version': '1.6', 'schema:identifier': 'VM007'}, {'schema:url': 'https://verra.org/methodology/vm0009-methodology-for-avoided-ecosystem-conversion-v3-0/', 'schema:name': 'Methodology for Avoided Ecosystem Conversion', 'schema:version': '3.0', 'schema:identifier': 'VM009'}, {'schema:url': 'https://verra.org/methodology/vm0010-methodology-for-improved-forest-management-conversion-from-logged-to-protected-forest-v1-3/', 'schema:name': 'Methodology for Improved Forest Management: Conversion from Logged to Protected Forest', 'schema:version': '1.3', 'schema:identifier': 'VM010'}, {'schema:url': 'https://verra.org/methodology/vm0011-methodology-for-calculating-ghg-benefits-from-preventing-planned-degradation-v1-0/', 'schema:name': 'Methodology for Calculating GHG Benefits from Preventing Planned Degradation', 'schema:version': '1.0', 'schema:identifier': 'VM011'}, {'schema:url': 'https://verra.org/methodology/vm0012-improved-forest-management-in-temperate-and-boreal-forests-ltpf-v1-2/', 'schema:name': 'Improved Forest Management in Temperate and Boreal Forests (LtPF)', 'schema:version': '1.2', 'schema:identifier': 'VM012'}, {'schema:url': 'https://verra.org/methodology/vm0015-methodology-for-avoided-unplanned-deforestation-v1-1/', 'schema:name': 'Methodology for Avoided Unplanned Deforestation', 'schema:version': '1.1', 'schema:identifier': 'VM015'}, {'schema:url': 'https://verra.org/methodology/vm0017-adoption-of-sustainable-agricultural-land-management-v1-0/', 'schema:name': 'Adoption of Sustainable Agricultural Land Management', 'schema:version': '1.0', 'schema:identifier': 'VM017'}, {'schema:url': 'https://verra.org/methodology/vm0021-soil-carbon-quantification-methodology-v1-0/', 'schema:name': 'Soil Carbon Quantification Methodology', 'schema:version': '1.0', 'schema:identifier': 'VM021'}, {'schema:url': 'https://verra.org/methodology/vm0024-methodology-for-coastal-wetland-creation-v1-0/', 'schema:name': 'Methodology for Coastal Wetland Creation', 'schema:version': '1.0', 'schema:identifier': 'VM024'}, {'schema:url': 'https://verra.org/methodology/vm0026-methodology-for-sustainable-grassland-management-sgm-v1-0/', 'schema:name': 'Methodology for Sustainable Grassland Management (SGM)', 'schema:version': '1.1', 'schema:identifier': 'VM026'}, {'schema:url': 'https://verra.org/methodology/vm0027-methodology-for-rewetting-drained-tropical-peatlands-v1-0/', 'schema:name': 'Methodology for Rewetting Drained Tropical Peatlands', 'schema:version': '1.0', 'schema:identifier': 'VM027'}, {'schema:url': 'https://verra.org/methodology/vm0029-methodology-for-avoided-forest-degradation-through-fire-management-v1-0/', 'schema:name': 'Methodology for Avoided Forest Degradation through Fire Management', 'schema:version': '1.0', 'schema:identifier': 'VM029'}, {'schema:url': 'https://verra.org/methodology/vm0032-methodology-for-the-adoption-of-sustainable-grasslands-through-adjustment-of-fire-and-grazing-v1-0/', 'schema:name': 'Methodology for the Adoption of Sustainable Grasslands through Adjustment of Fire and Grazing', 'schema:version': '1.0', 'schema:identifier': 'VM032'}, {'schema:url': 'https://verra.org/methodology/vm0033-methodology-for-tidal-wetland-and-seagrass-restoration-v2-0/', 'schema:name': 'Methodology for Tidal Wetland and Seagrass Restoration', 'schema:version': '2.0', 'schema:identifier': 'VM033'}, {'schema:url': 'https://verra.org/methodology/vm0034-canadian-forest-carbon-offset-methodology-v2-0-2/', 'schema:name': 'British Columbia Forest Carbon Offset Methodology', 'schema:version': '2.0', 'schema:identifier': 'VM034'}, {'schema:url': 'https://verra.org/methodology/vm0035-methodology-for-improved-forest-management-through-reduced-impact-logging-v1-0/', 'schema:name': 'Methodology for Improved Forest Management through Reduced Impact Logging', 'schema:version': '1.0', 'schema:identifier': 'VM035'}, {'schema:url': 'https://verra.org/methodology/vm0036-methodology-for-rewetting-drained-temperate-peatlands-v1-0/', 'schema:name': 'Methodology for Rewetting Drained Temperate Peatlands', 'schema:version': '1.0', 'schema:identifier': 'VM036'}, {'schema:url': 'https://verra.org/methodology/vm0037-methodology-implementation-redd-activities-landscapes-affected-mosaic-deforestation-degradation-v1-0/', 'schema:name': 'Methodology for Implementation of REDD+ Activities in Landscapes Affected by Mosaic Deforestation and Degradation', 'schema:version': '1.0', 'schema:identifier': 'VM037'}, {'schema:url': 'https://verra.org/methodology/vm0042-methodology-for-improved-agricultural-land-management-v1-0/', 'schema:name': 'Methodology for Improved Agricultural Land Management', 'schema:version': '1.0', 'schema:identifier': 'VM042'}]","[{'schema:url': 'https://cdm.unfccc.int/methodologies/DB/X4VOLW3Y7IJCH9WXSBXBC2Q0JKG9UZ', 'schema:name': 'Afforestation and reforestation of degraded land', 'schema:version': '5.2.0', 'schema:identifier': 'AR-ACM0001'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/OOH5AKLQDUYW6N3STD3LDH7EL9THD1', 'schema:name': 'Afforestation or reforestation of degraded land without displacement of pre-project activities', 'schema:version': '1.1.0', 'schema:identifier': 'AR-ACM0002'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/3Z9ZV3YE2H4ITY66HR7WDLV6D9QMD5', 'schema:name': 'Reforestation of degraded land', 'schema:version': '3.0', 'schema:identifier': 'AR-AM0001'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/6ZZXJUKK49WKLID7ZH8FG3BS9WTCCH', 'schema:name': 'Restoration of degraded lands through afforestation/reforestation', 'schema:version': '3.0', 'schema:identifier': 'AR-AM0002'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/U3WW9YEC2X333WW8CPVQ6CGVY6IBPJ', 'schema:name': 'Afforestation and reforestation of degraded land through tree planting assisted natural regeneration and control of animal grazing', 'schema:version': '4.0', 'schema:identifier': 'AR-AM0003'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/S2OMSUTOWYOMLW75MPR0CG6SAKNG4Y', 'schema:name': 'Reforestation or afforestation of land currently under agricultural use', 'schema:version': '4.0', 'schema:identifier': 'AR-AM0004'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/QAM97WQWX94URIJXOJMTJFIS8KSE28', 'schema:name': 'Afforestation and reforestation project activities implemented for industrial and/or commercial uses', 'schema:version': '4.0', 'schema:identifier': 'AR-AM0005'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/BHNYWRDFHU75CI2GSCETNYRBFWBMBS', 'schema:name': 'Afforestation/Reforestation with Trees Supported by Shrubs on Degraded Land', 'schema:version': '3.1.1', 'schema:identifier': 'AR-AM0006'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/M8JRU26ZZJAN7DKGE2EP6UBN9OYBDJ', 'schema:name': 'Afforestation and Reforestation of Land Currently Under Agricultural or Pastoral Use', 'schema:version': '5.0', 'schema:identifier': 'AR-AM0007'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/SVW9LIW0F9AQ50KW7J338I8UD4Z231', 'schema:name': 'Afforestation or reforestation on degraded land for sustainable wood production', 'schema:version': '3.0', 'schema:identifier': 'AR-AM0008'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/HQ3U8IFDTG5N8987T3LR9D3Z76UB8O', 'schema:name': 'Afforestation or reforestation on degraded land allowing for silvopastoral activities', 'schema:version': '4.0', 'schema:identifier': 'AR-AM0009'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/H70FNNSTOOBRQV0GTWHDX0WECCWZZC', 'schema:name': 'Afforestation and reforestation project activities implemented on unmanaged grassland in reserve/protected areas', 'schema:version': '4.0', 'schema:identifier': 'AR-AM0010'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/21ACLYAP601F8L2WCBJV0PTM7GXYQ3', 'schema:name': 'Afforestation and reforestation of land subject to polyculture farming', 'schema:version': '1.0.1', 'schema:identifier': 'AR-AM0011'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/57VGMUM1NWCQDQ4BQ2KP4VXFHF95ZI', 'schema:name': 'Afforestation or reforestation of degraded or abandoned agricultural lands', 'schema:version': '1.0.1', 'schema:identifier': 'AR-AM0012'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/LAC5URLIAYJ8ETRT2W1A4IFHBPSNWN', 'schema:name': 'Afforestation and reforestation of lands other than wetlands', 'schema:version': '1.0.0', 'schema:identifier': 'AR-AM0013'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/91OLF4XK2MEDIRIWUQ22X3ZQAOPBWY', 'schema:name': 'Simplified baseline and monitoring methodologies for small-scale A/R CDM project activities implemented on grasslands or croplands with limited displacement of pre-project activities', 'schema:version': '6.0', 'schema:identifier': 'AR-AMS0001'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/XNOATYWKHK5ZM5ZVZZQ4G5OXIDVZJK', 'schema:name': 'Simplified baseline and monitoring methodologies for small-scale afforestation and reforestation project activities under the CDM implemented on settlements', 'schema:version': '2.0', 'schema:identifier': 'AR-AMS0002'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/7O930NO6FCXTRZI6WIVTF54TTWJM6I', 'schema:name': 'Simplified baseline and monitoring methodology for small-scale agroforestry - afforestation and reforestation project activities under the clean development mechanism', 'schema:version': '2.0', 'schema:identifier': 'AR-AMS0004'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/KO69QWJ8DYW631DD4PZN6C37XL3P1E', 'schema:name': 'Simplified baseline and monitoring methodology for small-scale afforestation and reforestation project activities under the clean development mechanism implemented on lands having low inherent potential to support living biomass', 'schema:version': '2.0', 'schema:identifier': 'AR-AMS0005'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/MDKSSZCV62M6V0K49Y0L5H9YD7WLR5', 'schema:name': 'Simplified baseline and monitoring methodology for small-scale silvopastoral - afforestation and reforestation project activities under the clean development mechanism', 'schema:version': '1.0', 'schema:identifier': 'AR-AMS0006'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/C9QS5G3CS8FW04MYYXDFOQDPXWM4OE', 'schema:name': 'Afforestation and reforestation of lands except wetlands', 'schema:version': '2.0', 'schema:identifier': 'AR-ACM0003'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/KMH6O8T6RL3P5XKNBQE2N359QG7KOE', 'schema:name': 'Afforestation and reforestation of degraded mangrove habitats', 'schema:version': '3.0', 'schema:identifier': 'AR-AM0014'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/808WOYH6FWAXP3CQR4PXOLORGZBVRG', 'schema:name': 'Afforestation and reforestation project activities implemented on wetlands', 'schema:version': '3.0', 'schema:identifier': 'AR-AMS0003'}, {'schema:url': 'https://cdm.unfccc.int/methodologies/DB/J6ZHLX1C3AEMSZ52PWIII6D2AOJZUB', 'schema:name': 'Afforestation and reforestation project activities implemented on lands other than wetlands', 'schema:version': '3.1', 'schema:identifier': 'AR-AMS0007'}, {'schema:url': 'https://verra.org/methodology/vm0003-methodology-for-improved-forest-management-through-extension-of-rotation-age-v1-2/', 'schema:name': 'Methodology for Improved Forest Management through Extension of Rotation Age', 'schema:version': '1.2', 'schema:identifier': 'VM003'}, {'schema:url': 'https://verra.org/methodology/vm0004-methodology-for-conservation-projects-that-avoid-planned-land-use-conversion-in-peat-swamp-forests-v1-0/', 'schema:name': 'Methodology for Conservation Projects that Avoid Planned Land Use Conversion in Peat Swamp Forests', 'schema:version': '1.0', 'schema:identifier': 'VM004'}, {'schema:url': 'https://verra.org/methodology/vm0005-methodology-for-conversion-of-low-productive-forest-to-high-productive-forest-v1-2/', 'schema:name': 'Methodology for Conversion of Low-productive Forest to High-productive Forest', 'schema:version': '1.2', 'schema:identifier': 'VM005'}, {'schema:url': 'https://verra.org/methodology/vm0006-methodology-for-carbon-accounting-for-mosaic-and-landscape-scale-redd-projects-v2-2/', 'schema:name': 'Methodology for Carbon Accounting for Mosaic and Landscape-scale REDD Projects', 'schema:version': '2.2', 'schema:identifier': 'VM006'}, {'schema:url': 'https://verra.org/methodology/vm0007-redd-methodology-framework-redd-mf-v1-6/', 'schema:name': 'REDD+ Methodology Framework (REDD+MF)', 'schema:version': '1.6', 'schema:identifier': 'VM007'}, {'schema:url': 'https://verra.org/methodology/vm0009-methodology-for-avoided-ecosystem-conversion-v3-0/', 'schema:name': 'Methodology for Avoided Ecosystem Conversion', 'schema:version': '3.0', 'schema:identifier': 'VM009'}, {'schema:url': 'https://verra.org/methodology/vm0010-methodology-for-improved-forest-management-conversion-from-logged-to-protected-forest-v1-3/', 'schema:name': 'Methodology for Improved Forest Management: Conversion from Logged to Protected Forest', 'schema:version': '1.3', 'schema:identifier': 'VM0010'}, {'schema:url': 'https://verra.org/methodology/vm0011-methodology-for-calculating-ghg-benefits-from-preventing-planned-degradation-v1-0/', 'schema:name': 'Methodology for Calculating GHG Benefits from Preventing Planned Degradation', 'schema:version': '1.0', 'schema:identifier': 'VM0011'}, {'schema:url': 'https://verra.org/methodology/vm0012-improved-forest-management-in-temperate-and-boreal-forests-ltpf-v1-2/', 'schema:name': 'Improved Forest Management in Temperate and Boreal Forests (LtPF)', 'schema:version': '1.2', 'schema:identifier': 'VM0012'}, {'schema:url': 'https://verra.org/methodology/vm0015-methodology-for-avoided-unplanned-deforestation-v1-1/', 'schema:name': 'Methodology for Avoided Unplanned Deforestation', 'schema:version': '1.1', 'schema:identifier': 'VM0015'}, {'schema:url': 'https://verra.org/methodology/vm0017-adoption-of-sustainable-agricultural-land-management-v1-0/', 'schema:name': 'Adoption of Sustainable Agricultural Land Management', 'schema:version': '1.0', 'schema:identifier': 'VM0017'}, {'schema:url': 'https://verra.org/methodology/vm0021-soil-carbon-quantification-methodology-v1-0/', 'schema:name': 'Soil Carbon Quantification Methodology', 'schema:version': '1.0', 'schema:identifier': 'VM0021'}, {'schema:url': 'https://verra.org/methodology/vm0024-methodology-for-coastal-wetland-creation-v1-0/', 'schema:name': 'Methodology for Coastal Wetland Creation', 'schema:version': '1.0', 'schema:identifier': 'VM0024'}, {'schema:url': 'https://verra.org/methodology/vm0026-methodology-for-sustainable-grassland-management-sgm-v1-0/', 'schema:name': 'Methodology for Sustainable Grassland Management (SGM)', 'schema:version': '1.1', 'schema:identifier': 'VM0026'}, {'schema:url': 'https://verra.org/methodology/vm0027-methodology-for-rewetting-drained-tropical-peatlands-v1-0/', 'schema:name': 'Methodology for Rewetting Drained Tropical Peatlands', 'schema:version': '1.0', 'schema:identifier': 'VM0027'}, {'schema:url': 'https://verra.org/methodology/vm0029-methodology-for-avoided-forest-degradation-through-fire-management-v1-0/', 'schema:name': 'Methodology for Avoided Forest Degradation through Fire Management', 'schema:version': '1.0', 'schema:identifier': 'VM0029'}, {'schema:url': 'https://verra.org/methodology/vm0032-methodology-for-the-adoption-of-sustainable-grasslands-through-adjustment-of-fire-and-grazing-v1-0/', 'schema:name': 'Methodology for the Adoption of Sustainable Grasslands through Adjustment of Fire and Grazing', 'schema:version': '1.0', 'schema:identifier': 'VM0032'}, {'schema:url': 'https://verra.org/methodology/vm0033-methodology-for-tidal-wetland-and-seagrass-restoration-v2-0/', 'schema:name': 'Methodology for Tidal Wetland and Seagrass Restoration', 'schema:version': '2.0', 'schema:identifier': 'VM0033'}, {'schema:url': 'https://verra.org/methodology/vm0034-canadian-forest-carbon-offset-methodology-v2-0-2/', 'schema:name': 'British Columbia Forest Carbon Offset Methodology', 'schema:version': '2.0', 'schema:identifier': 'VM0034'}, {'schema:url': 'https://verra.org/methodology/vm0035-methodology-for-improved-forest-management-through-reduced-impact-logging-v1-0/', 'schema:name': 'Methodology for Improved Forest Management through Reduced Impact Logging', 'schema:version': '1.0', 'schema:identifier': 'VM0035'}, {'schema:url': 'https://verra.org/methodology/vm0036-methodology-for-rewetting-drained-temperate-peatlands-v1-0/', 'schema:name': 'Methodology for Rewetting Drained Temperate Peatlands', 'schema:version': '1.0', 'schema:identifier': 'VM0036'}, {'schema:url': 'https://verra.org/methodology/vm0037-methodology-implementation-redd-activities-landscapes-affected-mosaic-deforestation-degradation-v1-0/', 'schema:name': 'Methodology for Implementation of REDD+ Activities in Landscapes Affected by Mosaic Deforestation and Degradation', 'schema:version': '1.0', 'schema:identifier': 'VM0037'}, {'schema:url': 'https://verra.org/methodology/vm0042-methodology-for-improved-agricultural-land-management-v1-0/', 'schema:name': 'Methodology for Improved Agricultural Land Management', 'schema:version': '1.0', 'schema:identifier': 'VM0042'}]"
